,登入日期,登入時間(以小時為單位),登入成功次數
7251,2021/9/18,1,11100
6543,2021/9/18,2,6799
3286,2021/9/18,3,4316
8492,2021/9/18,4,3318
8804,2021/9/18,5,3770
2879,2021/9/18,6,6594
4610,2021/9/18,7,11243
8547,2021/9/18,8,14262
3149,2021/9/18,9,18342
1929,2021/9/18,10,24643
6074,2021/9/18,11,23764
9001,2021/9/18,12,24140
1715,2021/9/18,13,22106
7056,2021/9/18,14,22364
8835,2021/9/18,15,22713
2555,2021/9/18,16,21551
4309,2021/9/18,17,20514
9425,2021/9/18,18,19215
3705,2021/9/18,19,19355
883,2021/9/18,20,20374
5807,2021/9/18,21,20734
7439,2021/9/18,22,19551
2929,2021/9/18,23,17171
4429,2021/9/19,0,13493
7963,2021/9/19,1,9182
2597,2021/9/19,2,5810
5116,2021/9/19,3,3782
8995,2021/9/19,4,2691
2238,2021/9/19,5,2771
8031,2021/9/19,6,4331
8217,2021/9/19,7,6775
3750,2021/9/19,8,10259
6143,2021/9/19,9,13659
4712,2021/9/19,10,20674
7861,2021/9/19,11,19155
1419,2021/9/19,12,18566
5005,2021/9/19,13,18373
6737,2021/9/19,14,18160
2361,2021/9/19,15,18026
4180,2021/9/19,16,18091
8133,2021/9/19,17,17696
3730,2021/9/19,18,16175
4244,2021/9/19,19,16882
4431,2021/9/19,20,18160
7694,2021/9/19,21,18187
408,2021/9/19,22,17996
4887,2021/9/19,23,16395
732,2021/9/2,0,17652
3878,2021/9/2,1,10359
6058,2021/9/2,2,6169
236,2021/9/2,3,4052
4886,2021/9/2,4,3464
5395,2021/9/2,5,4930
1357,2021/9/2,6,10584
5428,2021/9/2,7,25258
8326,2021/9/2,8,30450
2614,2021/9/2,9,44041
8774,2021/9/2,10,45732
4276,2021/9/2,11,45049
6166,2021/9/2,12,46175
714,2021/9/2,13,45475
4533,2021/9/2,14,41771
6471,2021/9/2,15,42119
958,2021/9/2,16,36458
3548,2021/9/2,17,33254
7407,2021/9/2,18,31557
1481,2021/9/2,19,33046
8469,2021/9/2,20,33569
3167,2021/9/2,21,34196
8001,2021/9/2,22,31683
7268,2021/9/2,23,25361
6500,2021/9/20,0,12859
1392,2021/9/20,1,8641
2794,2021/9/20,2,5447
7472,2021/9/20,3,3628
1573,2021/9/20,4,2725
5070,2021/9/20,5,2636
7071,2021/9/20,6,4175
1291,2021/9/20,7,6942
4985,2021/9/20,8,10370
8821,2021/9/20,9,14986
7093,2021/9/20,10,18472
23,2021/9/20,11,19832
3275,2021/9/20,12,19208
7850,2021/9/20,13,19471
988,2021/9/20,14,19859
3899,2021/9/20,15,20119
7486,2021/9/20,16,20182
1824,2021/9/20,17,19166
4090,2021/9/20,18,18092
9037,2021/9/20,19,18502
6561,2021/9/20,20,19382
737,2021/9/20,21,20257
2339,2021/9/20,22,19810
6270,2021/9/20,23,17610
86,2021/9/21,0,13848
2821,2021/9/21,1,9508
6832,2021/9/21,2,5932
1159,2021/9/21,3,3891
3867,2021/9/21,4,2657
5058,2021/9/21,5,2668
2475,2021/9/21,6,4224
5469,2021/9/21,7,6620
6796,2021/9/21,8,9941
2875,2021/9/21,9,14394
9034,2021/9/21,10,17726
3208,2021/9/21,11,19670
5858,2021/9/21,12,20313
170,2021/9/21,13,20927
2581,2021/9/21,14,20777
6730,2021/9/21,15,21265
1060,2021/9/21,16,21620
3719,2021/9/21,17,21512
8702,2021/9/21,18,21057
590,2021/9/21,19,22648
9086,2021/9/21,20,24824
2123,2021/9/21,21,26431
6513,2021/9/21,22,25990
7824,2021/9/21,23,22451
2781,2021/9/22,0,16856
7575,2021/9/22,1,10742
6831,2021/9/22,2,7146
3545,2021/9/22,3,4158
5930,2021/9/22,4,3032
483,2021/9/22,5,3956
3496,2021/9/22,6,8990
8508,2021/9/22,7,27447
1115,2021/9/22,8,34725
2653,2021/9/22,9,31314
3110,2021/9/22,10,78752
4875,2021/9/22,11,69848
8729,2021/9/22,12,64102
2080,2021/9/22,13,59287
5941,2021/9/22,14,55030
7730,2021/9/22,15,51943
2979,2021/9/22,16,45009
8279,2021/9/22,17,40413
322,2021/9/22,18,38248
4399,2021/9/22,19,40411
2046,2021/9/22,20,40125
4955,2021/9/22,21,39906
8303,2021/9/22,22,37633
2849,2021/9/22,23,29420
5300,2021/9/23,0,19520
8423,2021/9/23,1,11422
1868,2021/9/23,2,6589
3715,2021/9/23,3,4265
7524,2021/9/23,4,3474
2371,2021/9/23,5,4554
7421,2021/9/23,6,11058
8878,2021/9/23,7,26899
1897,2021/9/23,8,33507
6229,2021/9/23,9,48109
4568,2021/9/23,10,47819
7585,2021/9/23,11,50100
2359,2021/9/23,12,51832
4316,2021/9/23,13,47701
9056,2021/9/23,14,44629
2237,2021/9/23,15,51278
8638,2021/9/23,16,38593
9431,2021/9/23,17,35152
3056,2021/9/23,18,32445
6631,2021/9/23,19,34190
3523,2021/9/23,20,34788
7652,2021/9/23,21,35589
1662,2021/9/23,22,32985
4077,2021/9/23,23,26272
8745,2021/9/24,0,18141
2356,2021/9/24,1,10794
5690,2021/9/24,2,6608
6913,2021/9/24,3,4392
1654,2021/9/24,4,3777
5902,2021/9/24,5,5328
8712,2021/9/24,6,11929
2819,2021/9/24,7,29647
6934,2021/9/24,8,43379
8282,2021/9/24,9,49848
8989,2021/9/24,10,51215
460,2021/9/24,11,50147
4960,2021/9/24,12,47779
8235,2021/9/24,13,47522
1338,2021/9/24,14,43270
5102,2021/9/24,15,43834
9067,2021/9/24,16,35742
2419,2021/9/24,17,33425
5430,2021/9/24,18,31349
9385,2021/9/24,19,31370
6777,2021/9/24,20,31671
691,2021/9/24,21,31662
5383,2021/9/24,22,29280
5890,2021/9/24,23,24139
1516,2021/9/25,0,17929
3053,2021/9/25,1,11082
6256,2021/9/25,2,6873
940,2021/9/25,3,4284
5650,2021/9/25,4,3234
5432,2021/9/25,5,3727
1047,2021/9/25,6,6322
7149,2021/9/25,7,10038
9025,2021/9/25,8,14432
1869,2021/9/25,9,18797
41,2021/9/25,10,22490
3467,2021/9/25,11,23914
6928,2021/9/25,12,24065
1515,2021/9/25,13,24491
4036,2021/9/25,14,25453
7721,2021/9/25,15,25038
1618,2021/9/25,16,24150
3586,2021/9/25,17,23736
8146,2021/9/25,18,22475
1099,2021/9/25,19,22937
173,2021/9/25,20,23881
2659,2021/9/25,21,24331
5240,2021/9/25,22,22788
1511,2021/9/25,23,19419
3384,2021/9/26,0,14352
7526,2021/9/26,1,9715
8051,2021/9/26,2,6172
3113,2021/9/26,3,3851
6186,2021/9/26,4,2682
775,2021/9/26,5,2662
3606,2021/9/26,6,4589
9169,2021/9/26,7,6808
1716,2021/9/26,8,9776
5452,2021/9/26,9,14138
3322,2021/9/26,10,18248
7570,2021/9/26,11,20172
152,2021/9/26,12,20306
4275,2021/9/26,13,20784
6572,2021/9/26,14,20793
1653,2021/9/26,15,21571
3340,2021/9/26,16,22048
6667,2021/9/26,17,21840
1548,2021/9/26,18,21531
5227,2021/9/26,19,23325
3451,2021/9/26,20,25510
7250,2021/9/26,21,26104
8934,2021/9/26,22,25618
3334,2021/9/26,23,21911
4806,2021/9/27,0,15970
8308,2021/9/27,1,10390
3741,2021/9/27,2,7075
5206,2021/9/27,3,4270
9176,2021/9/27,4,2961
912,2021/9/27,5,3638
6036,2021/9/27,6,8302
658,2021/9/27,7,22988
4402,2021/9/27,8,29146
7109,2021/9/27,9,44672
4222,2021/9/27,10,45964
9193,2021/9/27,11,46204
2860,2021/9/27,12,47387
4525,2021/9/27,13,46040
8125,2021/9/27,14,41866
3534,2021/9/27,15,40369
7273,2021/9/27,16,36381
9027,2021/9/27,17,33799
2418,2021/9/27,18,31767
8214,2021/9/27,19,33197
4091,2021/9/27,20,35219
7619,2021/9/27,21,35008
3000,2021/9/27,22,32164
5923,2021/9/27,23,25331
8844,2021/9/28,0,17172
1876,2021/9/28,1,10131
6192,2021/9/28,2,5715
8966,2021/9/28,3,3874
2205,2021/9/28,4,3187
5642,2021/9/28,5,4380
8977,2021/9/28,6,10078
1933,2021/9/28,7,24318
4435,2021/9/28,8,28109
26,2021/9/28,9,40850
7029,2021/9/28,10,42802
2997,2021/9/28,11,41566
6645,2021/9/28,12,42553
8967,2021/9/28,13,42676
2697,2021/9/28,14,41842
6132,2021/9/28,15,40062
8842,2021/9/28,16,32716
1596,2021/9/28,17,30518
6570,2021/9/28,18,28741
8269,2021/9/28,19,30712
7737,2021/9/28,20,31188
2319,2021/9/28,21,31768
5593,2021/9/28,22,30527
6785,2021/9/28,23,24188
542,2021/9/29,0,16188
4329,2021/9/29,1,9735
7049,2021/9/29,2,5829
1143,2021/9/29,3,3867
5608,2021/9/29,4,3243
9124,2021/9/29,5,4242
2750,2021/9/29,6,9850
5741,2021/9/29,7,23972
8852,2021/9/29,8,28315
2545,2021/9/29,9,45877
158,2021/9/29,10,44451
3698,2021/9/29,11,43816
5780,2021/9/29,12,45771
1900,2021/9/29,13,44945
6205,2021/9/29,14,41219
7205,2021/9/29,15,45176
2769,2021/9/29,16,35423
3377,2021/9/29,17,32786
8330,2021/9/29,18,31157
2648,2021/9/29,19,32751
11,2021/9/29,20,33224
4076,2021/9/29,21,33492
7464,2021/9/29,22,31069
1806,2021/9/29,23,24758
4395,2021/9/3,0,17093
5626,2021/9/3,1,9914
7659,2021/9/3,2,6131
3985,2021/9/3,3,4151
4906,2021/9/3,4,3671
14,2021/9/3,5,5272
2700,2021/9/3,6,11932
7401,2021/9/3,7,33180
1619,2021/9/3,8,39156
5054,2021/9/3,9,50356
3518,2021/9/3,10,51300
5933,2021/9/3,11,51541
8416,2021/9/3,12,51511
2917,2021/9/3,13,51936
5517,2021/9/3,14,46766
9054,2021/9/3,15,52494
2622,2021/9/3,16,40168
6265,2021/9/3,17,37242
935,2021/9/3,18,34280
3981,2021/9/3,19,33756
2576,2021/9/3,20,33420
4530,2021/9/3,21,33310
7512,2021/9/3,22,30129
2431,2021/9/3,23,24336
3782,2021/9/30,0,17039
7453,2021/9/30,1,10289
249,2021/9/30,2,5965
5518,2021/9/30,3,4042
8530,2021/9/30,4,3443
1418,2021/9/30,5,5472
6291,2021/9/30,6,11955
6747,2021/9/30,7,29872
2073,2021/9/30,8,34028
4470,2021/9/30,9,47493
3168,2021/9/30,10,47873
5325,2021/9/30,11,47025
864,2021/9/30,12,46922
4534,2021/9/30,13,46969
6096,2021/9/30,14,44348
1035,2021/9/30,15,42662
5130,2021/9/30,16,38897
7942,2021/9/30,17,35543
1028,2021/9/30,18,33627
3866,2021/9/30,19,35405
2783,2021/9/30,20,36882
5098,2021/9/30,21,37580
250,2021/9/30,22,34649
4089,2021/9/30,23,27961
6819,2021/9/4,0,17186
9139,2021/9/4,1,10908
3767,2021/9/4,2,6544
6888,2021/9/4,3,4129
8373,2021/9/4,4,3306
2872,2021/9/4,5,3710
7349,2021/9/4,6,6444
7079,2021/9/4,7,10691
3446,2021/9/4,8,15145
6539,2021/9/4,9,19983
4453,2021/9/4,10,23290
8892,2021/9/4,11,23896
1208,2021/9/4,12,23890
7159,2021/9/4,13,24690
7445,2021/9/4,14,24926
945,2021/9/4,15,26994
7537,2021/9/4,16,23983
6875,2021/9/4,17,23384
4310,2021/9/4,18,22146
6010,2021/9/4,19,22622
5504,2021/9/4,20,23617
7469,2021/9/4,21,23522
1484,2021/9/4,22,21465
3995,2021/9/4,23,19039
8667,2021/9/5,0,14544
1218,2021/9/5,1,9466
6124,2021/9/5,2,6076
6326,2021/9/5,3,3972
1588,2021/9/5,4,2753
6184,2021/9/5,5,3014
8288,2021/9/5,6,5129
2329,2021/9/5,7,8026
6905,2021/9/5,8,12470
6683,2021/9/5,9,17723
7231,2021/9/5,10,21412
2446,2021/9/5,11,22954
4910,2021/9/5,12,22953
8651,2021/9/5,13,23192
2615,2021/9/5,14,23339
6713,2021/9/5,15,23569
8468,2021/9/5,16,24250
2341,2021/9/5,17,24238
4933,2021/9/5,18,23803
40,2021/9/5,19,26183
5676,2021/9/5,20,27952
1068,2021/9/5,21,29123
4258,2021/9/5,22,28629
8270,2021/9/5,23,24179
1844,2021/9/6,0,17344
4119,2021/9/6,1,11264
8055,2021/9/6,2,7054
1112,2021/9/6,3,4125
4927,2021/9/6,4,3147
8425,2021/9/6,5,4163
2143,2021/9/6,6,9079
5467,2021/9/6,7,23637
6020,2021/9/6,8,35374
2765,2021/9/6,9,53096
9168,2021/9/6,10,56846
3293,2021/9/6,11,58496
6605,2021/9/6,12,60530
844,2021/9/6,13,60183
2832,2021/9/6,14,52516
6638,2021/9/6,15,53197
716,2021/9/6,16,42557
5236,2021/9/6,17,38570
9074,2021/9/6,18,36295
1283,2021/9/6,19,38609
9434,2021/9/6,20,39408
2189,2021/9/6,21,40166
7352,2021/9/6,22,36109
1791,2021/9/6,23,27974
3014,2021/9/7,0,18187
7786,2021/9/7,1,10434
245,2021/9/7,2,5893
4818,2021/9/7,3,4007
5580,2021/9/7,4,3279
1365,2021/9/7,5,4487
3454,2021/9/7,6,10385
6051,2021/9/7,7,25153
876,2021/9/7,8,29779
4466,2021/9/7,9,45943
3145,2021/9/7,10,47949
5041,2021/9/7,11,45018
365,2021/9/7,12,48974
2686,2021/9/7,13,47202
6956,2021/9/7,14,43187
1021,2021/9/7,15,44003
4746,2021/9/7,16,35922
6692,2021/9/7,17,33303
541,2021/9/7,18,31140
4205,2021/9/7,19,32683
1908,2021/9/7,20,33426
5230,2021/9/7,21,34650
546,2021/9/7,22,32673
1488,2021/9/7,23,26107
5754,2021/9/8,0,17559
8491,2021/9/8,1,9933
3910,2021/9/8,2,5949
4472,2021/9/8,3,3947
345,2021/9/8,4,3174
3581,2021/9/8,5,4287
6459,2021/9/8,6,9850
486,2021/9/8,7,23742
3264,2021/9/8,8,28305
7320,2021/9/8,9,42326
4229,2021/9/8,10,45071
7440,2021/9/8,11,43239
1862,2021/9/8,12,44939
5798,2021/9/8,13,43192
2,2021/9/8,14,40324
1413,2021/9/8,15,39312
6923,2021/9/8,16,33470
9083,2021/9/8,17,33205
3300,2021/9/8,18,29860
7239,2021/9/8,19,31612
4442,2021/9/8,20,32012
9075,2021/9/8,21,33115
2311,2021/9/8,22,30361
7306,2021/9/8,23,24212
8969,2021/9/9,0,19615
1524,2021/9/9,1,10897
3139,2021/9/9,2,6377
8080,2021/9/9,3,4146
2717,2021/9/9,4,3254
4714,2021/9/9,5,4679
274,2021/9/9,6,9972
3042,2021/9/9,7,25777
8450,2021/9/9,8,29142
7207,2021/9/9,9,40904
7098,2021/9/9,10,42085
1342,2021/9/9,11,40587
4232,2021/9/9,12,43014
8765,2021/9/9,13,44226
3112,2021/9/9,14,39223
7517,2021/9/9,15,43767
8535,2021/9/9,16,34063
2203,2021/9/9,17,31691
5986,2021/9/9,18,29797
9044,2021/9/9,19,31535
6865,2021/9/9,20,32762
1091,2021/9/9,21,33549
5097,2021/9/9,22,31830
8029,2021/9/9,23,25094
6450,2022/1/1,0,14173
305,2022/1/1,1,11857
4800,2022/1/1,2,8559
5396,2022/1/1,3,5594
867,2022/1/1,4,4038
3721,2022/1/1,5,3483
7707,2022/1/1,6,4410
1026,2022/1/1,7,7278
4783,2022/1/1,8,11094
6358,2022/1/1,9,16040
5392,2022/1/1,10,20369
9359,2022/1/1,11,22593
4114,2022/1/1,12,23269
7233,2022/1/1,13,24698
878,2022/1/1,14,23590
2886,2022/1/1,15,23580
6755,2022/1/1,16,23534
930,2022/1/1,17,23250
3175,2022/1/1,18,23161
9070,2022/1/1,19,23514
4830,2022/1/1,20,25304
9073,2022/1/1,21,26080
1799,2022/1/1,22,25070
7930,2022/1/1,23,21602
676,2022/1/10,0,19399
3459,2022/1/10,1,12249
7298,2022/1/10,2,8332
655,2022/1/10,3,4792
4688,2022/1/10,4,3755
8047,2022/1/10,5,4894
1353,2022/1/10,6,10927
4704,2022/1/10,7,32992
9257,2022/1/10,8,40646
2941,2022/1/10,9,60107
1107,2022/1/10,10,64699
4696,2022/1/10,11,63865
7104,2022/1/10,12,67882
525,2022/1/10,13,68640
3964,2022/1/10,14,60850
8869,2022/1/10,15,63158
570,2022/1/10,16,52569
4069,2022/1/10,17,49314
7660,2022/1/10,18,46119
2392,2022/1/10,19,47425
8542,2022/1/10,20,47233
4194,2022/1/10,21,47940
8381,2022/1/10,22,47016
947,2022/1/10,23,36421
3205,2022/1/11,0,25007
4611,2022/1/11,1,13702
842,2022/1/11,2,7989
3428,2022/1/11,3,5126
6485,2022/1/11,4,3946
913,2022/1/11,5,4882
2529,2022/1/11,6,9844
9014,2022/1/11,7,24729
832,2022/1/11,8,37858
4953,2022/1/11,9,52434
1518,2022/1/11,10,49697
7919,2022/1/11,11,49444
248,2022/1/11,12,52628
3657,2022/1/11,13,50466
6534,2022/1/11,14,47852
336,2022/1/11,15,45109
5632,2022/1/11,16,39414
4994,2022/1/11,17,37114
705,2022/1/11,18,34484
4396,2022/1/11,19,36410
1020,2022/1/11,20,37946
4501,2022/1/11,21,38093
8272,2022/1/11,22,36631
3880,2022/1/11,23,28929
4487,2022/1/12,0,19582
9417,2022/1/12,1,11150
4848,2022/1/12,2,6692
4585,2022/1/12,3,4399
522,2022/1/12,4,3669
3203,2022/1/12,5,4513
7135,2022/1/12,6,9338
9316,2022/1/12,7,21561
4159,2022/1/12,8,28218
5196,2022/1/12,9,43693
5193,2022/1/12,10,47098
7236,2022/1/12,11,46687
3023,2022/1/12,12,49233
7745,2022/1/12,13,47903
9435,2022/1/12,14,45364
3043,2022/1/12,15,47093
7392,2022/1/12,16,38835
140,2022/1/12,17,36719
2144,2022/1/12,18,34201
5901,2022/1/12,19,36234
5800,2022/1/12,20,37132
7096,2022/1/12,21,37937
1727,2022/1/12,22,35832
6954,2022/1/12,23,28949
9146,2022/1/13,0,19514
1149,2022/1/13,1,11509
6426,2022/1/13,2,6983
9382,2022/1/13,3,4666
1642,2022/1/13,4,3632
6748,2022/1/13,5,4483
9187,2022/1/13,6,9132
1650,2022/1/13,7,28619
5402,2022/1/13,8,32278
9380,2022/1/13,9,44627
8787,2022/1/13,10,50035
744,2022/1/13,11,44978
3091,2022/1/13,12,47582
8083,2022/1/13,13,45841
2453,2022/1/13,14,43850
4839,2022/1/13,15,42620
9262,2022/1/13,16,37003
1520,2022/1/13,17,34518
6871,2022/1/13,18,31776
6629,2022/1/13,19,33289
8224,2022/1/13,20,34558
974,2022/1/13,21,34745
5303,2022/1/13,22,32884
8287,2022/1/13,23,27004
976,2022/1/14,0,18063
4160,2022/1/14,1,10498
8619,2022/1/14,2,6320
1851,2022/1/14,3,4326
6053,2022/1/14,4,3507
8213,2022/1/14,5,4611
2247,2022/1/14,6,8602
6353,2022/1/14,7,25786
7749,2022/1/14,8,29307
1001,2022/1/14,9,46237
76,2022/1/14,10,48107
2908,2022/1/14,11,47772
7533,2022/1/14,12,48082
2179,2022/1/14,13,46557
5272,2022/1/14,14,45610
6449,2022/1/14,15,43143
1722,2022/1/14,16,37229
4099,2022/1/14,17,33824
7044,2022/1/14,18,31841
2465,2022/1/14,19,31179
1461,2022/1/14,20,31086
2309,2022/1/14,21,31016
5604,2022/1/14,22,28940
439,2022/1/14,23,24606
4097,2022/1/15,0,18112
6451,2022/1/15,1,11416
63,2022/1/15,2,6905
4701,2022/1/15,3,4501
8042,2022/1/15,4,3497
1916,2022/1/15,5,3511
2181,2022/1/15,6,5491
7764,2022/1/15,7,9744
1124,2022/1/15,8,13862
5110,2022/1/15,9,19615
3968,2022/1/15,10,23764
6296,2022/1/15,11,25263
319,2022/1/15,12,25579
3634,2022/1/15,13,25408
7746,2022/1/15,14,26150
766,2022/1/15,15,25910
3178,2022/1/15,16,24801
7393,2022/1/15,17,25061
1501,2022/1/15,18,23744
4363,2022/1/15,19,24352
1736,2022/1/15,20,25357
6160,2022/1/15,21,25911
8643,2022/1/15,22,24246
3389,2022/1/15,23,20951
4418,2022/1/16,0,15822
9130,2022/1/16,1,10153
3197,2022/1/16,2,415
633,2022/1/16,4,1987
4242,2022/1/16,5,3231
6784,2022/1/16,6,4089
356,2022/1/16,7,6896
4825,2022/1/16,8,10950
7679,2022/1/16,9,15484
6525,2022/1/16,10,19342
8512,2022/1/16,11,21238
2113,2022/1/16,12,21750
7234,2022/1/16,13,22050
9122,2022/1/16,14,22247
3772,2022/1/16,15,22607
6679,2022/1/16,16,23603
884,2022/1/16,17,24586
4978,2022/1/16,18,23435
7627,2022/1/16,19,25289
5507,2022/1/16,20,27427
7810,2022/1/16,21,28433
1494,2022/1/16,22,28012
6834,2022/1/16,23,23914
8734,2022/1/17,0,17633
996,2022/1/17,1,11463
3984,2022/1/17,2,7583
9006,2022/1/17,3,4390
1374,2022/1/17,4,3292
5086,2022/1/17,5,3769
8690,2022/1/17,6,7839
2139,2022/1/17,7,22966
7170,2022/1/17,8,30676
543,2022/1/17,9,50382
7948,2022/1/17,10,53352
609,2022/1/17,11,52741
5509,2022/1/17,12,54451
6723,2022/1/17,13,51973
1825,2022/1/17,14,47530
4789,2022/1/17,15,45202
4,2022/1/17,16,40553
5372,2022/1/17,17,37870
5519,2022/1/17,18,34643
840,2022/1/17,19,36592
7148,2022/1/17,20,38315
2682,2022/1/17,21,38017
4635,2022/1/17,22,35460
6640,2022/1/17,23,28505
2388,2022/1/18,0,23795
3486,2022/1/18,1,13074
7356,2022/1/18,2,7580
553,2022/1/18,3,5409
2903,2022/1/18,4,4509
7331,2022/1/18,5,6246
3058,2022/1/18,6,14237
5673,2022/1/18,7,32738
9330,2022/1/18,8,36608
2526,2022/1/18,9,52447
1801,2022/1/18,10,51614
4182,2022/1/18,11,49433
7693,2022/1/18,12,52827
1829,2022/1/18,13,49759
5437,2022/1/18,14,47499
7751,2022/1/18,15,45773
1050,2022/1/18,16,39297
6324,2022/1/18,17,36953
9452,2022/1/18,18,34493
2837,2022/1/18,19,36181
1309,2022/1/18,20,37569
3267,2022/1/18,21,38278
7866,2022/1/18,22,36005
890,2022/1/18,23,29796
5894,2022/1/19,0,19952
9329,2022/1/19,1,11325
1096,2022/1/19,2,6890
4335,2022/1/19,3,4532
7683,2022/1/19,4,3723
1589,2022/1/19,5,4782
3429,2022/1/19,6,9437
9219,2022/1/19,7,23914
4663,2022/1/19,8,29307
5008,2022/1/19,9,45300
4961,2022/1/19,10,47303
7002,2022/1/19,11,45731
1304,2022/1/19,12,49039
3797,2022/1/19,13,48463
6275,2022/1/19,14,45486
395,2022/1/19,15,42547
4148,2022/1/19,16,38489
8809,2022/1/19,17,36108
801,2022/1/19,18,34460
5590,2022/1/19,19,35813
4084,2022/1/19,20,36499
5958,2022/1/19,21,37405
580,2022/1/19,22,35733
4274,2022/1/19,23,28928
9212,2022/1/2,0,16569
2834,2022/1/2,1,10974
7194,2022/1/2,2,6887
568,2022/1/2,3,4522
3182,2022/1/2,4,3222
6565,2022/1/2,5,2863
660,2022/1/2,6,3770
4249,2022/1/2,7,6575
5061,2022/1/2,8,10543
1113,2022/1/2,9,15697
7934,2022/1/2,10,19970
984,2022/1/2,11,22992
7092,2022/1/2,12,24216
7346,2022/1/2,13,24101
2867,2022/1/2,14,24147
7669,2022/1/2,15,24688
502,2022/1/2,16,25528
4730,2022/1/2,17,26159
7977,2022/1/2,18,25429
826,2022/1/2,19,27913
5874,2022/1/2,20,30180
2422,2022/1/2,21,32143
5229,2022/1/2,22,31839
7957,2022/1/2,23,27116
7852,2022/1/20,0,20620
169,2022/1/20,1,11964
3332,2022/1/20,2,7264
4631,2022/1/20,3,4885
788,2022/1/20,4,4230
3648,2022/1/20,5,5883
8379,2022/1/20,6,11858
755,2022/1/20,7,29646
5275,2022/1/20,8,34736
9253,2022/1/20,9,51464
7008,2022/1/20,10,53677
174,2022/1/20,11,50548
3903,2022/1/20,12,51211
6893,2022/1/20,13,48972
167,2022/1/20,14,46115
3039,2022/1/20,15,49259
8122,2022/1/20,16,40301
1284,2022/1/20,17,37469
6612,2022/1/20,18,37347
7124,2022/1/20,19,36606
6682,2022/1/20,20,37130
8868,2022/1/20,21,36978
4535,2022/1/20,22,34992
5771,2022/1/20,23,28819
9399,2022/1/21,0,20105
4615,2022/1/21,1,11622
5707,2022/1/21,2,7197
5,2022/1/21,3,4893
3176,2022/1/21,4,3944
5243,2022/1/21,5,5466
9222,2022/1/21,6,10050
4026,2022/1/21,7,21423
9383,2022/1/21,8,27775
1776,2022/1/21,9,47126
8206,2022/1/21,10,49219
2075,2022/1/21,11,50990
5059,2022/1/21,12,57369
9416,2022/1/21,13,57858
2628,2022/1/21,14,48380
5872,2022/1/21,15,45894
8912,2022/1/21,16,39927
4074,2022/1/21,17,38895
5716,2022/1/21,18,35660
989,2022/1/21,19,34903
8811,2022/1/21,20,34502
2688,2022/1/21,21,34475
6574,2022/1/21,22,32191
7996,2022/1/21,23,26557
2227,2022/1/22,0,19265
5123,2022/1/22,1,12214
9292,2022/1/22,2,7533
3418,2022/1/22,3,5037
7047,2022/1/22,4,4217
9294,2022/1/22,5,4990
1630,2022/1/22,6,8075
5212,2022/1/22,7,16270
6311,2022/1/22,8,21918
3239,2022/1/22,9,32940
2037,2022/1/22,10,37341
4422,2022/1/22,11,38191
7218,2022/1/22,12,38030
2314,2022/1/22,13,36894
3484,2022/1/22,14,38423
9017,2022/1/22,15,39836
2172,2022/1/22,16,34256
5515,2022/1/22,17,30843
8771,2022/1/22,18,28999
2141,2022/1/22,19,28349
1697,2022/1/22,20,29285
4268,2022/1/22,21,28924
9043,2022/1/22,22,26608
2026,2022/1/22,23,22760
5457,2022/1/23,0,17558
7900,2022/1/23,1,11278
1804,2022/1/23,2,7244
4474,2022/1/23,3,4743
6978,2022/1/23,4,3680
2772,2022/1/23,5,3420
4034,2022/1/23,6,4771
7649,2022/1/23,7,8540
2705,2022/1/23,8,12817
5556,2022/1/23,9,18352
3976,2022/1/23,10,22022
6308,2022/1/23,11,24189
1624,2022/1/23,12,25053
4662,2022/1/23,13,25088
8325,2022/1/23,14,26203
2496,2022/1/23,15,26802
4929,2022/1/23,16,26547
8497,2022/1/23,17,26841
1945,2022/1/23,18,26474
6598,2022/1/23,19,27714
3107,2022/1/23,20,28836
5435,2022/1/23,21,30474
827,2022/1/23,22,30153
4443,2022/1/23,23,25802
8550,2022/1/24,0,19354
458,2022/1/24,1,12557
3266,2022/1/24,2,8013
7742,2022/1/24,3,4763
1499,2022/1/24,4,3512
5948,2022/1/24,5,4016
8212,2022/1/24,6,7548
2650,2022/1/24,7,21971
5064,2022/1/24,8,29420
8846,2022/1/24,9,51304
5531,2022/1/24,10,51282
686,2022/1/24,11,51512
4031,2022/1/24,12,56505
6814,2022/1/24,13,54694
2351,2022/1/24,14,49051
5036,2022/1/24,15,47133
6549,2022/1/24,16,41772
1278,2022/1/24,17,42384
4532,2022/1/24,18,37221
8137,2022/1/24,19,37577
8482,2022/1/24,20,38831
8818,2022/1/24,21,39820
3770,2022/1/24,22,37407
5393,2022/1/24,23,31264
9368,2022/1/25,0,22286
3935,2022/1/25,1,13446
5721,2022/1/25,2,7810
1074,2022/1/25,3,5367
3580,2022/1/25,4,4280
6444,2022/1/25,5,6319
331,2022/1/25,6,12675
3629,2022/1/25,7,33565
7577,2022/1/25,8,37455
734,2022/1/25,9,55114
8514,2022/1/25,10,56224
1826,2022/1/25,11,56354
6818,2022/1/25,12,58896
1656,2022/1/25,13,57120
3061,2022/1/25,14,53764
6479,2022/1/25,15,50616
384,2022/1/25,16,43785
4503,2022/1/25,17,41789
8185,2022/1/25,18,39856
861,2022/1/25,19,40013
8463,2022/1/25,20,41142
1756,2022/1/25,21,42079
4997,2022/1/25,22,40499
7618,2022/1/25,23,33293
2958,2022/1/26,0,22974
6697,2022/1/26,1,13406
8568,2022/1/26,2,8021
2842,2022/1/26,3,5184
